id,title,thumbnail,language_dependence,playersBest,minPlayer,maxPlayer,minPlayTime,maxPlayTime,minAge,usersrated,average,bayesaverage,stddev,median,owned,wishing,numcomments,numweights,averageweight
174430,Gloomhaven,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__thumb/img/veqFeP4d_3zNhFc3GNBkV95rBEQ=/fit-in/200x150/filters:strip_icc()/pic2437871.jpg,4,3,1,4,60,120,14,50875,8.71327,8.48116,1.65515,0,82225,18226,8989,2175,3.8786
161936,Pandemic Legacy: Season 1,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__thumb/img/NQQcjS31TO0DE246N9rpt0hd9eo=/fit-in/200x150/filters:strip_icc()/pic2452831.png,4,4,2,4,60,60,13,46875,8.58239,8.43116,1.56028,0,73473,12031,7048,1283,2.8293
224517,Brass: Birmingham,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__thumb/img/o18rjEemoWaVru9Y2TyPwuIaRfE=/fit-in/200x150/filters:strip_icc()/pic3490053.jpg,1,3,2,4,60,120,14,29012,8.65721,8.42576,1.24653,0,43023,12689,4254,1397,3.9098
291457,Gloomhaven: Jaws of the Lion,https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__thumb/img/OMkN_E5eyWrkID_cHCnQEbIixGM=/fit-in/200x150/filters:strip_icc()/pic5055631.jpg,4,2,1,4,30,120,14,20547,8.61612,8.26169,1.42925,0,48306,6640,3002,660,3.5985
167791,Terraforming Mars,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__thumb/img/BTxqxgYay5tHJfVoJ2NF5g43_gA=/fit-in/200x150/filters:strip_icc()/pic3536616.jpg,3,3,1,5,120,120,12,79493,8.40591,8.26152,1.3922,0,109368,19842,11494,3282,3.248
233078,Twilight Imperium: Fourth Edition,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__thumb/img/lfEukJE0JsoZZObaF9K9YnFp62E=/fit-in/200x150/filters:strip_icc()/pic3727516.jpg,4,6,3,6,240,480,14,17503,8.65222,8.24878,1.61258,0,22185,9481,2683,812,4.2635
187645,Star Wars: Rebellion,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__thumb/img/gAxzddRVQiRdjZHYFUZ2xc5Jlbw=/fit-in/200x150/filters:strip_icc()/pic4325841.jpg,4,2,2,4,180,240,14,26978,8.41977,8.16939,1.36503,0,41588,11569,4130,935,3.7358
220308,Gaia Project,https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__thumb/img/NNG7Ijyx4evp5gcVReis9i0koas=/fit-in/200x150/filters:strip_icc()/pic5375625.png,1,3,1,4,60,150,12,21059,8.45291,8.16793,1.39279,0,26338,10696,3010,1321,4.3747
342942,Ark Nova,https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__thumb/img/4KuHNTWSMPf8vTNDKSRMMI3oOv8=/fit-in/200x150/filters:strip_icc()/pic6293412.jpg,3,2,1,4,90,150,14,10769,8.67726,8.16477,1.2921,0,17384,8044,1652,756,3.713
162886,Spirit Island,https://cf.geekdo-images.com/a13ieMPP2s0KEaKNYmtH5w__thumb/img/SKiHQ4zAj8uVdtwxOYKIveY9jCo=/fit-in/200x150/filters:strip_icc()/pic3615739.png,4,2,1,4,90,120,13,36103,8.36713,8.14805,1.47821,0,53201,17239,5805,2030,4.0488
